lockitver|DO NOT DELETE THIS LINE! 2896
pt_none|отсутствует
pt_rescued_prisoners|Освобождённые пленники
pt_enemy|Враг
pt_hero_party|Отряд героя
pt_village_defenders|Защитники деревни
pt_cattle_herd|Стадо скота
pt_looters|Мародёры
pt_manhunters|Охотники за людьми
pt_steppe_bandits|Степные бандиты
pt_taiga_bandits|Таёжные бандиты
pt_desert_bandits|Пустынные разбойники
pt_forest_bandits|Лесные бандиты
pt_mountain_bandits|Горные бандиты
pt_sea_raiders|Морские налётчики
pt_deserters|Дезертиры
pt_merchant_caravan|Торговый караван
pt_troublesome_bandits|Надоедливые бандиты
pt_bandits_awaiting_ransom|Бандиты, ожидающие выкупа
pt_kidnapped_girl|Похищенная девушка
pt_village_farmers|Деревенские крестьяне
pt_spy_partners|Незаметные путешественники
pt_runaway_serfs|Беглые крепостные
pt_spy|Обычный горожанин
pt_sacrificed_messenger|Принесённый в жертву посланник
pt_forager_party|Отряд фуражиров
pt_scout_party|Разведчики
pt_patrol_party|Патруль
pt_messenger_party|Посланник
pt_raider_party|Налётчики
pt_raider_captives|Пленники налётчиков
pt_kingdom_caravan_party|Караван
pt_prisoner_train_party|Колонна пленных
pt_default_prisoners|Пленники по умолчанию
pt_routed_warriors|Разбитые враги
pt_center_reinforcements|Подкрепление
pt_kingdom_hero_party|Военный отряд
pt_steppe_bandit_lair|Логово степных бандитов
pt_taiga_bandit_lair|Логово таёжных бандитов
pt_desert_bandit_lair|Логово пустынных разбойников
pt_forest_bandit_lair|Логово лесных бандитов
pt_mountain_bandit_lair|Убежище горных бандитов
pt_sea_raider_lair|Причал морских налётчиков
pt_looter_lair|Убежище похитителей
pt_leaded_looters|Банда разбойников
